        time  Number of Incident
19     5 - 6                1744
18     4 - 5                1885
20     6 - 7                2518
17     3 - 4                2553
12     2 - 3                3494
21     7 - 8                3894
1      1 - 2                4359
22     8 - 9                5575
23    9 - 10                5865
2    10 - 11                6483
16   23 - 24                6573
3    11 - 12                6786
0      0 - 1                6941
15   22 - 23                7099
5    13 - 14                7268
14   21 - 22                7480
6    14 - 15                7621
13   20 - 21                8098
7    15 - 16                8329
8    16 - 17                8656
11   19 - 20                8981
4    12 - 13                9021
9    17 - 18                9559
10   18 - 19                9718
